,Continent,Country,2017,2018,2019,2020, 2021
0,Africa,Burundi,203,221,268,257,276
1,Africa,Cameroon,370,310,268,280,262
2,Africa,Ivory Coast,1624,2175,1929,1775,1632
3,Africa,Democratic Republic of Congo,382,397,391,375,369
4,Africa,Ethiopia,7347,7511,7343,7375,7293
5,Africa,Guinea,229,153,178,150,156
6,Africa,Kenya,790,930,844,775,722
7,Africa,Madagascar,398,380,380,366,363
8,Africa,Rwanda,293,372,353,380,375
9,Africa,Tanzania,862,1125,921,913,815
10,Africa,Togo,115,54,41,40,33
11,Africa,Uganda ,4597,4704,5509,5620,6008
12,Asia and Oceania,India,5813,5325,4968,5700,5648
13,Asia and Oceania,Indonesia,10544,10071,11675,12273,13109
14,Asia and Oceania,Lao People's Democratic Republic,533,647,622,600,583
15,Asia and Oceania,Papua New Guinea,783,886,733,683,602
16,Asia and Oceania,Philippines,204,216,255,253,270
17,Asia and Oceania,Thailand,638,482,517,500,512
18,Asia and Oceania,Vietnam ,33432,30283,30487,29000,28813
19,Asia and Oceania,Yemen,132,86,91,100,103
20,Mexico & Central America,Costa Rica,1561,1427,1472,1450,1465
21,Mexico & Central America,Cuba,116,128,129,126,125
22,Mexico & Central America,Dominican Republic,416,425,396,375,357
23,Mexico & Central America,El Salvador,760,761,661,600,542
24,Mexico & Central America,Guatemala,3734,4007,3606,3750,3581
25,Mexico & Central America,Haiti,343,347,346,345,343
26,Mexico & Central America,Honduras ,7560,7153,5931,6100,5548
27,Mexico & Central America,Mexico,4485,4351,3970,4000,3821
28,Mexico & Central America,Nicaragua,2642,2879,2882,2650,2609
29,Mexico & Central America,Panama,105,128,114,115,108
30,South America,Bolivia,84,82,80,74,71
31,South America,Brazil,57077,62739,61857,65343,65435
32,South America,Colombia,13824,13866,14100,14300,14426
33,South America,Ecuador,592,512,544,497,503
34,South America,Peru,4275,4157,3827,3794,3629
35,South America,Venezuela,572,578,525,500,470
