retail_prices,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
   Austria,10.81677704,10.08830022,11.01545254,10.97130243,10.11037528,11.43487859,11.96467991,9.646799117,8.763796909,7.240618102,6.732891832,6.46799117,6.313465784,7.01986755,7.350993377,8.322295806,9.116997792,9.426048565,10.46357616,15.34216336,14.76821192,18.36644592,18.49889625,19.02869757,19.05077263,16.42384106,12.45033113,13.73068433,14.63576159
   Cyprus,6.247240618,6.181015453,6.335540839,5.739514349,7.01986755,9.40397351,9.116997792,8.918322296,10.17660044,9.690949227,7.902869757,7.902869757,8.940397351,10.86092715,11.54525386,11.65562914,11.78807947,12.71523179,12.51655629,12.20750552,11.50110375,13.37748344,14.0397351,14.28256071,14.30463576,11.69977925,11.69977925,12.14128035,12.78145695
   Denmark,8.410596026,8.101545254,8.366445916,7.682119205,9.823399558,12.29580574,10.61810155,10.94922737,10.86092715,8.675496689,7.61589404,7.041942605,6.821192053,7.880794702,8.741721854,9.44812362,9.779249448,10.6401766,11.9205298,11.67770419,12.00883002,15.27593819,14.83443709,14.0397351,14.19426049,12.91390728,10.90507726,11.10375276,11.69977925
   Finland,6.578366446,6.004415011,5.430463576,4.282560706,6.026490066,8.763796909,7.10816777,7.726269316,7.549668874,5.739514349,5.055187638,4.370860927,4.061810155,4.701986755,5.165562914,6.269315673,6.490066225,7.174392936,8.21192053,7.748344371,8.145695364,11.83222958,10.59602649,9.470198675,9.514348786,8.609271523,8.101545254,9.050772627,9.3598234
   France,8.233995585,7.571743929,5.099337748,4.481236203,5.298013245,8.145695364,7.284768212,6.092715232,6.136865342,5.629139073,4.746136865,4.392935982,4.569536424,5.518763797,6.004415011,6.070640177,6.556291391,7.527593819,8.520971302,8.366445916,7.991169978,9.116997792,8.653421634,8.653421634,8.322295806,6.865342163,7.196467991,7.505518764,8.123620309
   Germany,8.80794702,8.476821192,8.830022075,7.991169978,9.227373068,11.0816777,9.205298013,8.896247241,8.918322296,7.549668874,6.247240618,5.805739514,6.026490066,7.01986755,7.350993377,8.962472406,9.558498896,10.35320088,11.32450331,10.48565121,10.50772627,11.25827815,10.46357616,12.47240618,12.62693157,11.43487859,11.14790287,11.78807947,12.1192053
   Italy,11.7218543,12.40618102,12.93598234,10.13245033,10.33112583,12.58278146,13.06843267,12.03090508,12.20750552,11.39072848,9.801324503,9.558498896,10.08830022,12.07505519,13.26710817,13.53200883,13.88520971,15.49668874,17.37306843,16.95364238,16.20309051,18.80794702,18.74172185,19.84547461,19.53642384,16.51214128,16.44591611,16.93156733,17.92494481
   Netherlands,6.688741722,6.51214128,6.909492274,6.181015453,7.196467991,8.896247241,8.057395143,8.101545254,8.101545254,6.865342163,6.203090508,5.629139073,5.739514349,7.06401766,7.66004415,8.278145695,8.741721854,9.823399558,11.14790287,10.37527594,10.08830022,13.200883,12.86975717,12.67108168,12.60485651,11.87637969,10.52980132,10.66225166,10.33112583
   Portugal,9.094922737,9.426048565,10.92715232,9.426048565,9.668874172,13.77483444,13.06843267,11.12582781,10.77262693,10.26490066,8.719646799,8.543046358,8.609271523,10.17660044,10.81677704,10.77262693,10.52980132,11.21412804,12.53863135,11.69977925,10.88300221,11.81015453,12.5607064,12.78145695,12.64900662,11.01545254,10.88300221,11.12582781,11.83222958
   Spain,7.991169978,7.726269316,7.726269316,6.158940397,6.092715232,9.823399558,9.227373068,7.880794702,7.991169978,7.130242826,5.938189845,5.607064018,5.695364238,6.622516556,7.130242826,7.10816777,7.549668874,8.498896247,9.514348786,9.183222958,8.653421634,9.757174393,9.867549669,10,9.801324503,8.432671082,8.233995585,8.476821192,9.050772627
   Sweden,7.571743929,7.262693157,6.865342163,5.849889625,8.366445916,10.70640177,8.741721854,9.602649007,9.735099338,7.748344371,6.688741722,5.607064018,5.629139073,6.490066225,6.799116998,6.600441501,6.975717439,7.792494481,8.300220751,7.836644592,8.80794702,12.31788079,11.4790287,9.580573951,9.072847682,8.432671082,7.682119205,7.880794702,7.152317881
United Kingdom,23.28918322,22.98013245,22.27373068,18.63134658,25.07726269,30.4415011,29.47019868,32.89183223,34.0397351,31.63355408,28.49889625,26.1589404,26.73289183,29.44812362,32.14128035,32.53863135,34.92273731,39.5584989,37.15231788,35.29801325,34.65783664,41.98675497,42.38410596,41.76600442,45.38631347,41.74392936,35.9602649,37.54966887,40.61810155
Japan,22.64900662,26.22516556,27.85871965,32.16335541,32.42825607,39.11699779,33.64238411,31.39072848,29.84547461,33.81898455,28.5209713,18.98454746,17.94701987,18.0794702,19.31567329,18.14569536,18.01324503,17.85871965,18.36644592,13.3995585,14.10596026,16.22516556,16.71081678,13.35540839,12.53863135,12.36203091,13.70860927,13.13465784,12.80353201
Norway,7.306843267,6.975717439,6.887417219,5.430463576,7.262693157,10.02207506,8.609271523,9.072847682,8.609271523,7.395143488,6.578366446,6.313465784,6.821192053,7.682119205,8.476821192,9.072847682,8.587196468,9.867549669,10.35320088,8.874172185,9.889624724,12.7593819,12.09713024,11.14790287,16.55629139,12.82560706,12.27373068,12.42825607,12.69315673
